AlarmLowerLimit,503
AlarmLowerLimitColor,504
AlarmUpperLimit,506
AlarmUpperLimitColor,507
AllTagTypesAllowed,-
Authorization,517
AverageLast15Values,-
BackColor,526
BackFillStyle,531
BackFlashingColorOff,-
BackFlashingColorOn,-
BackFlashingEnabled,-
BackFlashingRate,-
BarBackColor,539
BarBackFillStyle,-
BarBackFlashingColorOff,-
BarBackFlashingColorOn,-
BarBackFlashingEnabled,-
BarBackFlashingRate,-
BarEdgeStyle,-
BarOrientation,-
BorderBackColor,-
BorderColor,562
BorderFlashingColorOff,-
BorderFlashingColorOn,-
BorderFlashingEnabled,-
BorderFlashingRate,-
BorderStyle,576
BorderWidth,577
Color,1057
ColorChangeHysteresis,601
CornerStyle,635
CountDivisions,-
CountSubDivisions,-
DeviceStyle,-
DrawInsideFrame,-
EdgeStyle,657
Enabled,660
FillPatternColor,-
Flashing,-
FlashingColorOff,-
FlashingColorOn,-
FlashingEnabled,-
FlashingRate,-
Font,-
FontBold,708
FontName,709
FontSize,711
ForeColor,712
ForeColorTransparency,-
Height,720
InnerHeight,-
IntegerDigits,748
LargeTickLabelingStep,-
LargeTicksBold,-
LargeTicksSize,-
Layer,764
Left,770
Limit4LowerLimit,-
Limit4LowerLimitColor,-
Limit4UpperLimit,-
Limit4UpperLimitColor,-
Limit5LowerLimit,-
Limit5LowerLimitColor,-
Limit5UpperLimit,-
Limit5UpperLimitColor,-
LimitRangeCollection,-
LineEndShapeStyle,787
MaximumValue,799
MinimumValue,822
Precision,871
ProcessValue,874
ScaleColor,892
ScaleGradation,893
ScalePosition,896
ScaleStart,-
ScalingType,899
SegmentColoring,-
ShowBadTagState,-
ShowLargeTicksOnly,-
ShowLimitLines,-
ShowLimitMarkers,-
ShowLimitRanges,-
ShowProcessValue,-
ShowScale,940
ShowTickLabels,-
ShowTrendIndicator,-
Size,-
StartValue,958
StyleItem,-
TabIndex,-
TabIndexAlpha,-
ToleranceLowerLimit,1054
ToleranceUpperLimit,-
ToolTipText,1082
Top,1083
Transparency,1087
TrendIndicatorColor,-
Unit,1142
UseAutoScaling,-
UseDesignColorSchema,-
UseExponentialFormat,-
Visible,1204
WarningLowerLimit,-
WarningUpperLimit,-
Width,1217
ZeroPoint,1249
