AllTagTypesAllowed,-
BackColor,526
Base,1021
BorderColor,562
BorderWidth,577
Bounds,-
CanBeGrouped,-
Caption,587
Closeable,599
Color,1128
ControlDesignMode,-
Defined,970
Enabled,-
ExportDelimiter,-
ExportFileExtension,-
ExportFilename,-
ExportFormat,-
ExportFormatGuid,-
ExportFormatName,-
ExportParameters,-
ExportSelection,681
ExportShowDialog,681
Font,705
Format,1176
GraphDirection,717
Grid,1140
GridColor,1126
Group,1064
Height,720
Left,770
LineColor,786
LineWidth,790
LoadDataImmediately,792
Location,-
Moveable,825
Name,-
OcxGuid,-
OcxState,-
OcxStateForEs2Rt,-
PercentageAxis,-
PercentageAxisColor,-
PrintJob,873
RTPersistence,888
RTPersistenceType,-
RulerColor,1138
RulerStyle,1138
RulerWidth,1139
ShowRuler,938
ShowRulerInAxis,-
ShowScrollbars,-
ShowStatisticRuler,-
ShowTitle,947
ShowTrendIcon,-
Size,961
Sizeable,952
StatusbarBackColor,-
StatusbarElementAdd,-
StatusbarElementCount,-
StatusbarElementID,-
StatusbarElementIconId,-
StatusbarElementIndex,-
StatusbarElementName,-
StatusbarElementRepos,-
StatusbarElementText,-
StatusbarElementWidth,-
StatusbarElements,-
StatusbarFont,973
StatusbarFontColor,-
StatusbarShowTooltips,-
StatusbarText,976
StatusbarUseBackColor,-
StatusbarVisible,-
TabIndex,-
TabIndexAlpha,-
TagName,1093
Text,970
TimeAxes,-
TimeAxisAdd,1009
TimeAxisAlignment,-
TimeAxisBeginTime,-
TimeAxisColor,-
TimeAxisCount,-
TimeAxisDateFormat,-
TimeAxisEndTime,-
TimeAxisInTrendColor,-
TimeAxisIndex,-
TimeAxisLabel,-
TimeAxisMeasurePoints,-
TimeAxisName,-
TimeAxisOnline,-
TimeAxisRangeType,1017
TimeAxisRemove,1018
TimeAxisRename,1019
TimeAxisRepos,1019
TimeAxisShowDate,1020
TimeAxisTimeFormat,1021
TimeAxisTrendWindow,-
TimeAxisVisible,-
TimeBase,1024
ToolbarAlignment,-
ToolbarBackColor,-
ToolbarButtonActive,-
ToolbarButtonAdd,-
ToolbarButtonClick,-
ToolbarButtonCount,-
ToolbarButtonEnabled,-
ToolbarButtonHotKey,-
ToolbarButtonID,-
ToolbarButtonIndex,-
ToolbarButtonLocked,1070
ToolbarButtonName,-
ToolbarButtonRemove,-
ToolbarButtonRename,-
ToolbarButtonRepos,-
ToolbarButtonVisible,-
ToolbarButtons,-
ToolbarShowTooltips,-
ToolbarUseBackColor,-
ToolbarUseHotKeys,-
ToolbarVisible,1081
Top,1083
TrendAdd,1092
TrendAutoRangeSource,-
TrendColor,1129
TrendCount,1097
TrendExtendedColorSet,-
TrendFill,1098
TrendFillColor,1099
TrendIndex,1100
TrendLabel,1101
TrendLineStyle,-
TrendLineType,-
TrendLineWidth,-
TrendLowerLimit,-
TrendLowerLimitColor,-
TrendName,1106
TrendPointColor,-
TrendPointStyle,-
TrendPointWidth,-
TrendProvider,1109
TrendProviderCLSID,-
TrendRemove,1111
TrendRename,1112
TrendRepos,1113
TrendSelectTagName,-
TrendTagName,-
TrendTimeAxis,-
TrendTrendWindow,-
TrendUncertainColor,-
TrendUncertainColoring,1120
TrendUpperLimit,1121
TrendUpperLimitColor,1121
TrendValueAxis,1123
TrendValueUnit,1123
TrendVisible,1124
TrendWindowAdd,-
TrendWindowCount,-
TrendWindowFineGrid,-
TrendWindowIndex,-
TrendWindowName,-
TrendWindowRemove,-
TrendWindowRename,-
TrendWindowRepos,-
TrendWindowVisible,-
TrendWindows,-
Trends,-
Value,1093
ValueAxes,-
ValueAxisAdd,-
ValueAxisAlignment,-
ValueAxisAutoRange,-
ValueAxisBeginValue,-
ValueAxisColor,-
ValueAxisCount,-
ValueAxisEndValue,-
ValueAxisInTrendColor,-
ValueAxisIndex,-
ValueAxisLabel,1178
ValueAxisName,1178
ValueAxisPrecisions,1179
ValueAxisRemove,1179
ValueAxisRename,1180
ValueAxisRepos,1180
ValueAxisScalingType,1181
ValueAxisTrendWindow,1182
ValueAxisVisible,1182
Visible,1204
Width,1217
